Problem,Result
18289 + 3738 + 15751,37778
19036 +22641 + 17284,58961
19036 +22641 + 17284,58961
19036 +22641 + 17284,58961
19036 +22641 + 17284,58961
19036 +22641 + 17284,58961
19036 +22641 + 17284,58961
19036 +22641 + 17284,58961
< Cha11enge!,11
54+73+89,216
54+73+89,216
54+73+89,216
54+73+89,216
54+73+89,216
< Cha11enge!,11
54+41+15,110
54+41+15,110
< Cha11enge!,11
392-333+263,322
392-333+263,322
< Cha11enge!,11
84+25+12,121
66 +101+29,196
76 +70+ 62,208
< Cha11enge!,11
89+57+30,176
39+44+74,157
1319+ 7135+ 30168,38622
